incident_id,incident_report,timestamp
INC-0001,"A watering hole attack was identified after multiple engineers visited a compromised vendor site. JavaScript on the page exploited CVE-2022-1096, allowing for download of an in-memory loader that decrypted and executed shellcode for lateral spread using WMI and PsExec.",2025-04-15T18:49:33Z
INC-0002,"The attacker sent a crafted JNDI lookup string via a user-agent header to exploit the Log4Shell (CVE-2021-44228) vulnerability. The vulnerable logging library initiated an outbound connection to an attacker-controlled LDAP server, loading a malicious class that opened a reverse shell (T1190, T1133).",2025-06-16T20:34:33Z
INC-0003,"The attacker gained domain dominance by extracting the KRBTGT hash from the domain controller using Mimikatz. A forged Golden Ticket was created with 10-year validity, granting unrestricted access to domain resources. The adversary leveraged SMB sessions and RDP to maintain stealthy lateral movement (T1558.001).",2025-04-08T09:57:33Z
INC-0004,"Kerberoasting was observed on the domain controller, where a compromised user account requested service tickets to offline crack service account passwords. This was followed by attempts to elevate privileges using forged PACs (T1550.003) and DCSync behavior against the NTDS.dit.",2025-05-21T14:13:33Z
INC-0005,"The attacker sent a crafted JNDI lookup string via a user-agent header to exploit the Log4Shell (CVE-2021-44228) vulnerability. The vulnerable logging library initiated an outbound connection to an attacker-controlled LDAP server, loading a malicious class that opened a reverse shell (T1190, T1133).",2025-05-26T12:00:33Z
INC-0006,"A Kubernetes pod running an outdated container runtime was exploited using CVE-2019-5736. The attacker performed a container escape, pivoted to the host node, and deployed a backdoor with rootkit capabilities. Cloud audit logs revealed privilege escalation to cluster-admin via misconfigured RBAC roles (T1611).",2025-04-22T00:39:33Z
INC-0007,"A Kubernetes pod running an outdated container runtime was exploited using CVE-2019-5736. The attacker performed a container escape, pivoted to the host node, and deployed a backdoor with rootkit capabilities. Cloud audit logs revealed privilege escalation to cluster-admin via misconfigured RBAC roles (T1611).",2025-04-25T14:09:33Z
INC-0008,"A misconfigured Elasticsearch instance exposed port 9200 to the internet, allowing unauthenticated access to PII. The attacker indexed 25 GB of data before being detected via anomaly-based intrusion detection systems. Forensic analysis confirmed the presence of exfiltration signatures aligned with T1041.",2025-06-16T15:21:33Z
INC-0009,TLS inspection was bypassed using a rogue internal proxy with a self-signed certificate. Employees accessing internal resources were unknowingly proxied. The attacker injected JavaScript payloads into internal web applications to capture session cookies and JWTs for privilege escalation (T1557.001).,2025-05-08T05:35:33Z
INC-0010,Suspicious beaconing was detected on a high-privilege server. Investigation revealed the use of DNS tunneling (T1071.004) for command and control. The attacker had established persistence through a startup folder dropper and deployed a memory-resident Mimikatz variant.,2025-05-11T20:23:33Z
INC-0011,"A watering hole attack was identified after multiple engineers visited a compromised vendor site. JavaScript on the page exploited CVE-2022-1096, allowing for download of an in-memory loader that decrypted and executed shellcode for lateral spread using WMI and PsExec.",2025-05-20T01:13:33Z
INC-0012,"A rogue system initiated a DNS spoofing attack on an internal resolver by flooding it with malformed responses. Legitimate queries for internal CRM resources were redirected to an attacker-controlled host, which served a clone phishing page to harvest employee credentials (T1557.002).",2025-05-26T17:41:33Z
INC-0013,"The attacker sent a crafted JNDI lookup string via a user-agent header to exploit the Log4Shell (CVE-2021-44228) vulnerability. The vulnerable logging library initiated an outbound connection to an attacker-controlled LDAP server, loading a malicious class that opened a reverse shell (T1190, T1133).",2025-06-01T04:56:33Z
